bits,  st_st0,  st_st0_n,  st_st1,  st_st10,  st_st10_n,  st_st11,  st_st11_n,  st_st12,  st_st12_n,  st_st13,  st_st14,  st_st15,  st_st1_n,  st_st2,  st_st3,  st_st4,  st_st5,  st_st6,  st_st6_n,  st_st7,  st_st8,  st_st8_n,  st_st9, 
 13,  5064,  4316,  4685,  622,  4707,  4728,  7752,  1644,  4206,  5705,  7280,  7008,  4460,  748,  630,  2668,  6754,  4938,  5016,  4818,  4710,  4659,  629, 
 13, 0b1001111001000, 0b1000011011100, 0b1001001001101, 0b0001001101110, 0b1001001100011, 0b1001001111000, 0b1111001001000, 0b0011001101100, 0b1000001101110, 0b1011001001001, 0b1110001110000, 0b1101101100000, 0b1000101101100, 0b0001011101100, 0b0001001110110, 0b0101001101100, 0b1101001100010, 0b1001101001010, 0b1001110011000, 0b1001011010010, 0b1001001100110, 0b1001000110011, 0b0001001110101, 
 12,  2145,  3081,  2248,  1098,  2115,  3152,  3112,  2074,  2626,  2146,  1091,  593,  3232,  1728,  1100,  3336,  1376,  3106,  2148,  3084,  1094,  3204,  3330, 
 12, 0b100001100001, 0b110000001001, 0b100011001000, 0b010001001010, 0b100001000011, 0b110001010000, 0b110000101000, 0b100000011010, 0b101001000010, 0b100001100010, 0b010001000011, 0b001001010001, 0b110010100000, 0b011011000000, 0b010001001100, 0b110100001000, 0b010101100000, 0b110000100010, 0b100001100100, 0b110000001100, 0b010001000110, 0b110010000100, 0b110100000010, 
 11,  126,  1083,  189,  399,  469,  311,  828,  1086,  1141,  839,  444,  1842,  1309,  1071,  814,  380,  497,  486,  694,  243,  455,  413,  365, 
 11, 0b00001111110, 0b10000111011, 0b00010111101, 0b00110001111, 0b00111010101, 0b00100110111, 0b01100111100, 0b10000111110, 0b10001110101, 0b01101000111, 0b00110111100, 0b11100110010, 0b10100011101, 0b10000101111, 0b01100101110, 0b00101111100, 0b00111110001, 0b00111100110, 0b01010110110, 0b00011110011, 0b00111000111, 0b00110011101, 0b00101101101, 
 10,  897,  135,  452,  705,  898,  676,  424,  780,  912,  664,  533,  547,  293,  774,  46,  141,  53,  417,  356,  396,  197,  163,  519, 
 10, 0b1110000001, 0b0010000111, 0b0111000100, 0b1011000001, 0b1110000010, 0b1010100100, 0b0110101000, 0b1100001100, 0b1110010000, 0b1010011000, 0b1000010101, 0b1000100011, 0b0100100101, 0b1100000110, 0b0000101110, 0b0010001101, 0b0000110101, 0b0110100001, 0b0101100100, 0b0110001100, 0b0011000101, 0b0010100011, 0b1000000111, 
 9,  137,  388,  162,  11,  140,  37,  67,  112,  19,  42,  262,  50,  22,  196,  145,  304,  28,  70,  104,  193,  324,  73,  385, 
 9, 0b010001001, 0b110000100, 0b010100010, 0b000001011, 0b010001100, 0b000100101, 0b001000011, 0b001110000, 0b000010011, 0b000101010, 0b100000110, 0b000110010, 0b000010110, 0b011000100, 0b010010001, 0b100110000, 0b000011100, 0b001000110, 0b001101000, 0b011000001, 0b101000100, 0b001001001, 0b110000001, 
 8,  52,  208,  104,  70,  37,  140,  69,  161,  25,  56,  100,  26,  38,  84,  193,  176,  88,  11,  22,  162,  41,  21,  131, 
 8, 0b00110100, 0b11010000, 0b01101000, 0b01000110, 0b00100101, 0b10001100, 0b01000101, 0b10100001, 0b00011001, 0b00111000, 0b01100100, 0b00011010, 0b00100110, 0b01010100, 0b11000001, 0b10110000, 0b01011000, 0b00001011, 0b00010110, 0b10100010, 0b00101001, 0b00010101, 0b10000011, 
